Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.0753927941825673,0.060891676215567445,0.7766998205619674,0.0020347764755344936,0.008187524573317758,0.0073037460484014554,0.0663937511156781,8.703924545196666e-05,0.0016192617344052064,0.00138960984710879
2,0.06932255615999883,0.015874479444163363,0.1517302736900724,0.019470722501259436,0.0016916200779890293,0.0014224474561215384,0.09872244649524292,0.00039392860229360067,0.6412662296470554,0.00010529592580358767
3,0.6483300730146738,0.02523832669786521,5.938757962344186e-05,0.00028702355595429087,0.00928088260070742,0.038290443531156244,0.04772570074824654,0.21337053181340937,2.1574514000503388e-05,0.017396055944363185
4,0.9874141062514262,0.005446897236161583,0.002305201359114682,5.96650143993302e-05,0.00030722835345938263,6.066761210503412e-05,0.004248748294622154,3.03839821170941e-05,2.4688879542780893e-06,0.000124633008640134
5,0.9414358978923503,0.004418757229154374,0.003940569454243349,0.000757944905788258,0.00018330443206916473,0.0459216803882647,0.00032586916879935373,0.001569471938387601,0.0007497415381488473,0.0006967630527940458
6,0.33786673339592,0.000562350051214748,0.0019811786994147597,0.0005532771245772579,0.10954732784832817,0.030236528935427467,0.011650164671550323,0.5054082992216082,3.0257899550662957e-05,0.002163882152408412
7,0.1495222994510407,0.04540197287597596,0.006120358441376124,0.011924484002273347,0.29112563221981685,0.13125819094538577,0.07833576766332696,0.010994068485564326,0.269972086246529,0.0053451396687107956
8,0.7285834818200552,0.012229785494331505,3.327854951552533e-06,0.0006151458880369804,0.07001096617725577,0.0009158027750001636,0.0597853074792016,0.11644162317545809,5.218358407783451e-06,0.011409340977301502
9,0.939700262706067,0.00033141157631839897,0.00021381388150538096,6.822679080854161e-05,0.04823074515564556,0.0012057822435352858,0.005252514129864423,0.0006606715927567591,0.00424549199958009,9.107992391863101e-05
10,0.6360274276708522,0.30043033535093594,0.057021763286987145,0.0011098019360583605,0.0005120416080149944,4.648700929613682e-05,0.0006200846872587689,0.0025062561158082667,0.0016017987849926531,0.0001240035497954385
11,0.8220109158657227,0.02272258574491407,0.0027928648521433567,0.00011526563662314773,0.0822189759165751,0.03397923303485822,0.014468657060367245,0.018702190496327285,0.00013888479587760168,0.0028504265965911472
12,0.02473380532413945,0.004161632851744356,0.0004572155837022133,0.07416876711751746,0.29478005773239513,0.0003358359519280764,0.14559902791144988,0.0025369030553029025,3.65894884368731e-05,0.45319016498338355
13,0.8572053972491843,0.011852096641727218,0.050887137034905265,0.00012418948311309226,0.003589697875914419,4.918202559885467e-05,0.006417259751843141,3.0137961116021994e-05,1.3080936365829336e-05,0.06983182104023188
14,0.26799384074855404,0.0006866713226118394,0.004265929102460761,0.4654555855800806,0.009469893269495218,0.0015592958821338031,0.0003197119289825986,0.24118092160443827,0.0009411185075145716,0.008127032053728387
15,0.8739589907425764,0.0056685308902512345,9.156883338944343e-07,0.037136701638137155,0.0008578947742748984,0.014090206325005874,0.06671658713732856,0.0003155287039300263,0.00014163338495912556,0.0011130107152028394
16,0.37577346172217735,0.1037059343147653,1.7482823201311997e-05,0.006052563490659388,0.03743296187367978,0.0009429157310387633,0.08470079398337947,0.065974040210309,0.006003021691976805,0.3193968241588128
17,0.4269727799211464,0.07084364095803425,0.14126893013890643,0.06496293040114753,0.11843092716471139,0.08293598490889151,0.01099667960411618,0.019866648925949252,0.01307974180396702,0.05064173617312998
18,0.9288625580488308,0.0013838888455364369,0.0694444163425731,1.8210546561562261e-07,9.399793150910551e-06,0.0002266716874323804,7.253081774293505e-05,1.692009853715723e-08,1.6581048361977727e-07,1.6962868555871663e-07
19,0.18970335811600011,0.0018341168941663308,0.6711571241222177,5.079574220278504e-05,0.0014229643906584588,0.12362410737071122,0.0056550096449966974,0.004330243707275989,0.0005894905338176433,0.001632789477953
20,0.4669665958571801,0.5220182071554206,1.288721653545597e-05,0.007108737013500703,0.001137333262964148,0.0006020052009262515,0.0003691042980451445,8.374306112921695e-05,0.0014331325695590602,0.0002682543647393808
21,0.5784769397677633,0.4049661591533067,0.004628862208454747,1.1116259134284441e-05,8.882573845113762e-05,7.724337438035778e-05,0.001428288728552566,2.7467406580752708e-05,2.483263313685792e-05,0.010270264730239367
22,0.9450444998750387,0.0001746732598929299,0.0021378010422793965,0.003772853076178567,0.00950444662104804,0.0020159503326023613,0.027464388009852108,0.006812437893215232,2.3917989626148334e-05,0.00304903190026654
23,0.9574083204807524,0.0018602053323816643,0.00037494559687202534,0.003067287102125629,0.029623679778654894,0.0007389682007802214,0.0029036905623327537,0.0012305093342846111,2.400004198080226e-05,0.0027683935698349653
24,0.19536492030869507,0.63460084145803,0.00259494240434794,0.006450341804553486,4.594740518964665e-05,0.012834254845515109,0.024826619272221,0.1036410399957203,3.2461537220155354e-06,0.019637846352005488
25,0.43364185607336386,0.19561502197311137,0.03410070346344788,0.00014178314532764795,0.0006590149011295372,0.0012623501214608101,0.014930656569818776,0.31907740451205424,0.00010568929653390462,0.000465519943752049
26,0.05740385199673987,0.1729752369238998,0.0006701289889234593,0.40610709124377414,0.02247603704847808,0.0016575569660358485,0.02124030349510309,0.00040378900779306144,0.0003205189610522522,0.3167454853682006
27,0.1660380162357439,0.19579114921916743,0.4668198318195969,0.06745005279718178,0.0005252590121422475,0.09438656249413685,0.004083085274225632,3.6501820699375614e-05,0.0047508357151965315,0.00011870561190938706
28,0.44361332545454646,4.832362946110939e-05,0.019643819217966742,0.010893650439427178,0.02158361341806307,0.0037049410775034258,0.026668835710845655,0.44408883383721354,0.02327845223010248,0.006476204984870585
29,0.31088487489048217,9.215792290698198e-05,0.000896552228604013,0.01051527299173913,0.03031638139579957,0.03192032818371219,0.006101924131757665,0.3186098290117593,0.2738695582733114,0.016793120969927546
30,0.8694249130313481,0.0008125686827228362,0.0008322050348124673,0.002651320380047633,0.043722951486852735,0.0066219421809847875,0.019339483125380186,0.05648655637989422,7.163743399430228e-05,3.6422263962703906e-05
31,0.06463990086609066,0.023206691516322202,0.011155730474681309,0.47740377486036023,0.0023378135940643886,0.008711783274797106,0.011145432930462143,0.002124851753252562,9.341367458047352e-06,0.39926467936251125
32,0.8880135021559222,0.006858461549731513,0.08383490206833707,0.0004084498221190609,0.003004650195788303,3.215491151780141e-05,0.0031998876549529836,0.0003035697541327929,7.333198947298835e-06,0.014337088688550825
33,0.6030599409946356,0.1143387427356658,0.0003633178752136533,0.000609252914468442,0.0009848954695357067,0.000217665735702714,0.26967175429652107,0.00729239298804094,1.9661702591294284e-05,0.003442375287624854
34,0.11907806959688165,0.012143115932837803,0.0014012219712696713,0.014417801944586998,0.04195373956633359,0.07131636174171167,0.006012896526233124,0.08462146067752878,0.5017247126412439,0.1473306194013728
35,0.13844222315330093,0.06788810145353254,0.0001231074695340533,0.7109094877486701,0.00395871499476916,0.031964050106792076,0.014259138911544235,0.0007555136608178502,0.005370960092222854,0.026328702408816122
36,0.044400353281634206,0.05742938270478454,0.007586741060376479,0.005824018099324503,0.001674401514741572,0.8822582604704768,5.5295007425359533e-05,0.00013845441335751113,8.295844321814262e-08,0.0006330104894359207
37,0.9343981298880719,0.001682780313124351,0.0006877957267312225,0.01943686132287368,0.00026276778432982105,0.03765186453674332,0.00011896632758557553,0.003946055392581648,4.17310067028964e-05,0.0017730477012557712
38,0.9776950995578927,0.0003106344180395923,0.0017151688091453122,0.00010812667600368798,0.013677767923925808,0.0008076526823331499,0.003609905293593208,0.0007161330884852636,0.0011538899955417375,0.0002056215550395617
